textDisplay,label_manual,cleaned_text
Arteria dahlan mana ni,1,Arteria dahlan mana ni
Kalau kita komen negatif ke jokowi banyak netizen kelimantan yang hujat giliran gini ya nikmatilah banjir kalian,0,Kalau kita komen negatif ke jokowi banyak netizen kelimantan yang hujat giliran gini ya nikmatilah banjir kalian
Sma kya tambang kn bnyk mnusia lapar,0,Sma kya tambang kn bnyk mnusia lapar
Gundulin aja smpai botak kya prof bahlul🤣🤣,0,Gundulin aja smpai botak kya prof bahlul
Semenjak tren sawit&#39; .. jika kita memperlakukan alam dengan buruk&#39; maka alam akan membalas&#39; dengan keburukan&quot; pulak 💩💨👈,0,Semenjak tren sawit jika kita memperlakukan alam dengan buruk maka alam akan membalas dengan keburukanquot pulak
"yg jadi comentator orang asing, <br>yg comen di colom comen orang luar kalimantan karna mengeruk hasil kalimantan, <br>rakyat asli dayak dapat apa?????<br>pikirkan solusinya",1,yg jadi comentator orang asing yg comen di colom comen orang luar kalimantan karna mengeruk hasil kalimantan rakyat asli dayak dapat apapikirkan solusinya
INGAT ANDA HIDUP DI ERA REZZIM JOKKOWI,1,INGAT ANDA HIDUP DI ERA REZZIM JOKKOWI
Tahu kalimantan wktu kecil nonton film anakonda. Menyebut laba-laba batu dari kalimantan,1,Tahu kalimantan wktu kecil nonton film anakonda Menyebut labalaba batu dari kalimantan
Ordebaru adalah kemunduran bagi indonesia.,0,Ordebaru adalah kemunduran bagi indonesia
"Hutan Kalimantan habis kena perusahaan luar yg di beri izin oleh pemerintah kami tidak bisa menjaga,,,<br>Kami pun ikut juga di banding nonton hanya tidak dapat apa²",0,Hutan Kalimantan habis kena perusahaan luar yg di beri izin oleh pemerintah kami tidak bisa menjagaKami pun ikut juga di banding nonton hanya tidak dapat apa
Mana ada yang perduli dengan berita ini... malah hari ini saja masih ada perusahaan yg di beri ijin untuk membuka lahan baru di tempat kami...berdarah pun anda mejelaskan ini tidak akan ada yang perduli di negeri ini sebelum keluarga2 mereka yg kaya itu terkena dampak juga dari deforestasi hutan ini,0,Mana ada yang perduli dengan berita ini malah hari ini saja masih ada perusahaan yg di beri ijin untuk membuka lahan baru di tempat kamiberdarah pun anda mejelaskan ini tidak akan ada yang perduli di negeri ini sebelum keluarga mereka yg kaya itu terkena dampak juga dari deforestasi hutan ini
"Padahal mayoritas pengusahanya sendiri juga orang Kalimantan kok. Itu pejabat-pejabat Kaltim-Kalsel kan mayoritas pengusaha yg kaya dari eksploitasi begini 😅. Jgn lupa salah satu yg terbesar Jhonlin, org Kalsel juga 😊",0,Padahal mayoritas pengusahanya sendiri juga orang Kalimantan kok Itu pejabatpejabat KaltimKalsel kan mayoritas pengusaha yg kaya dari eksploitasi begini Jgn lupa salah satu yg terbesar Jhonlin org Kalsel juga
Eropa skarang udah mulai mngurangi pembelian sawit indonesia. Mreka khawatir dgn ekosistem alam yg trus2an d rusak.,1,Eropa skarang udah mulai mngurangi pembelian sawit indonesia Mreka khawatir dgn ekosistem alam yg trusan d rusak
"Emang sesek banget klo denger berita tentang hutan kalimantan. Tapi percayalah, cepat atau lambat hutan kalimantan juga bakal diekploitasi, karna kekayaan alamnya yang udah ga diraguin lagi. Tapi sayangnya, kekayaan alamnya bukan cuman hutan dan lahan yang luas, tapi juga ada fosil tambang di dalamnya, jadi semisal hari ini hutan kalimantan masih utuh... Maka dalam hitungan belasan tahun lagi juga pasti dieksploitasi<br><br>Kalau menurut saya sah-sah aja eksplotasi hutan terutama untuk mengambil kekayaan fosil tambangnya, asalkan setelah selesai dengan urusan tambang, itu hutan dibalikin lagi dan jangan dijadiin tanah pemukiman",0,Emang sesek banget klo denger berita tentang hutan kalimantan Tapi percayalah cepat atau lambat hutan kalimantan juga bakal diekploitasi karna kekayaan alamnya yang udah ga diraguin lagi Tapi sayangnya kekayaan alamnya bukan cuman hutan dan lahan yang luas tapi juga ada fosil tambang di dalamnya jadi semisal hari ini hutan kalimantan masih utuh Maka dalam hitungan belasan tahun lagi juga pasti dieksploitasiKalau menurut saya sahsah aja eksplotasi hutan terutama untuk mengambil kekayaan fosil tambangnya asalkan setelah selesai dengan urusan tambang itu hutan dibalikin lagi dan jangan dijadiin tanah pemukiman
Anchore..,1,Anchore
Dulu jaman jayanya kayu kalimantan memang parah ilegal logging,0,Dulu jaman jayanya kayu kalimantan memang parah ilegal logging
"Dan kerennya pada masa waktu pemanasan global negara kita yg disebut memiliki paru paru hutan terbaik mendapatkan bayaran dari negara asing dan disaat itu pula kendaraan bermotor khususnya roda dua diwajibkan menyalakan lampu disiang hari, Maaf jika salah tetapi bolehlah narasi cek😁",1,Dan kerennya pada masa waktu pemanasan global negara kita yg disebut memiliki paru paru hutan terbaik mendapatkan bayaran dari negara asing dan disaat itu pula kendaraan bermotor khususnya roda dua diwajibkan menyalakan lampu disiang hari Maaf jika salah tetapi bolehlah narasi cek
Terserah Indonesia mau diapain itu Hutan. Urus hutanmu sndiri2 aja... Kok jdi si paling2...,1,Terserah Indonesia mau diapain itu Hutan Urus hutanmu sndiri aja Kok jdi si paling
"Prestasi yang membanggakan, mantap pak👍",2,Prestasi yang membanggakan mantap pak
NKRI harga mati<br>Pancasila harga mati<br>Ngak peduli hutan Rusak<br>Yg penting NKRI harga mati,0,NKRI harga matiPancasila harga matiNgak peduli hutan RusakYg penting NKRI harga mati
EMANG DASAR MEREKA EGOIS SEKALI DEMI UANG SAWIT DITANAM MEGAIBAKAN PARU PARU DUNIA,0,EMANG DASAR MEREKA EGOIS SEKALI DEMI UANG SAWIT DITANAM MEGAIBAKAN PARU PARU DUNIA
"Bumi sedang tidak sehat, smga deforestasi hutan bisa dihentikan, 🙏",1,Bumi sedang tidak sehat smga deforestasi hutan bisa dihentikan
Alhmdulillah uda d tf... 🤣 sesuai pesenan,1,Alhmdulillah uda d tf sesuai pesenan
Hahhahahahhahah parah emang,1,Hahhahahahhahah parah emang
"Kalo banjir solusinya simpel, tanam aj sawit yg banyak karena sawit makan banyak air 😌",1,Kalo banjir solusinya simpel tanam aj sawit yg banyak karena sawit makan banyak air
kalo kekeringan?,1,kalo kekeringan
"@@pandueka7718 disesuaikan dong, katanya banjir",1,pandueka disesuaikan dong katanya banjir
"Indonesia seharusnya sudah makmur sejak dulu, tapi dijajah koruptor",1,Indonesia seharusnya sudah makmur sejak dulu tapi dijajah koruptor
Makan tuh ikn,0,Makan tuh ikn
Terus ibu kota pindah kesitu itu apa dampaknya rusak nya alam iya,0,Terus ibu kota pindah kesitu itu apa dampaknya rusak nya alam iya
Asli ini real sekarang kami org dayak terasa asing ditempak kami karna beberapa kelompok yg ambil untung ditempat kami<br>Hutan habis buah habis semua habis.,0,Asli ini real sekarang kami org dayak terasa asing ditempak kami karna beberapa kelompok yg ambil untung ditempat kamiHutan habis buah habis semua habis
Mungkin mereka berpikir bisa tetap hidup sehat tanpa hutan dan pohon2nya.,1,Mungkin mereka berpikir bisa tetap hidup sehat tanpa hutan dan pohonnya
Keruk terusss sampek gundul wkwk,0,Keruk terusss sampek gundul wkwk
Sesal kemudian tidak ada guna nya..sama seperti sesal mengangkat mukidi ke puncak kekuasaan.,0,Sesal kemudian tidak ada guna nyasama seperti sesal mengangkat mukidi ke puncak kekuasaan
Benarkah kalian semua sebodoh itu mempercayai kebodohan IKN?<br>Berapa banyak negara yang mencoba pindah ibukota Dan berapa yang berhasil??? Dari situ aja sudah Tau ide ikn ini konyol Dan bodoh.<br>Sekarang HUTAN NYA YANG HARTA KITA SEMUA RATUSAN TAHUN SUDAH LENYAP...<br><br>Kapan mau pindah??<br>Otak waras kalian kepikiran kah..memindahkan puluhan ribuan orang ke IKN BAGAIMANA DAMPAK SOSIAL MASYARAKAT NYA?? Kebayang orang punya budaya beda beda jumlah besar bersamaan masuk daerah baru...belum lagi penduduk ikn daya saing nya tinggi (penduduk ibukota Jakarta).. penduduk setempat mau dapat apa disana?? Bengong??<br><br>Sementara ikn ini hanya menguntungkan segolongan pebisnis Dan keluarga pejabat,0,Benarkah kalian semua sebodoh itu mempercayai kebodohan IKNBerapa banyak negara yang mencoba pindah ibukota Dan berapa yang berhasil Dari situ aja sudah Tau ide ikn ini konyol Dan bodohSekarang HUTAN NYA YANG HARTA KITA SEMUA RATUSAN TAHUN SUDAH LENYAPKapan mau pindahOtak waras kalian kepikiran kahmemindahkan puluhan ribuan orang ke IKN BAGAIMANA DAMPAK SOSIAL MASYARAKAT NYA Kebayang orang punya budaya beda beda jumlah besar bersamaan masuk daerah barubelum lagi penduduk ikn daya saing nya tinggi penduduk ibukota Jakarta penduduk setempat mau dapat apa disana BengongSementara ikn ini hanya menguntungkan segolongan pebisnis Dan keluarga pejabat
"Masuk ke channel Ngomongin Uang, hari ini baru posting ttg IKN, banyak orang tolol pro IKN,",0,Masuk ke channel Ngomongin Uang hari ini baru posting ttg IKN banyak orang tolol pro IKN
Go ahead Narasi. Respect for Narasi yang selalu memperjuangkan keadilan.,1,Go ahead Narasi Respect for Narasi yang selalu memperjuangkan keadilan
Pemerintah yang harus disalahkan,0,Pemerintah yang harus disalahkan
"Kenapa negara-negara penghasil Karbondioksida terbesar dunia seperti Amerika, China, Rusia, dan Uni Eropa tidak punya niat dan sikap menurunkan angka persentase Karbon yang dihasilkan oleh negaranya sendiri?",1,Kenapa negaranegara penghasil Karbondioksida terbesar dunia seperti Amerika China Rusia dan Uni Eropa tidak punya niat dan sikap menurunkan angka persentase Karbon yang dihasilkan oleh negaranya sendiri
"Pemberi izin merusak hutan ada di pejabat. Kalo pejabatnya pintar, Hutan terjaga.",2,Pemberi izin merusak hutan ada di pejabat Kalo pejabatnya pintar Hutan terjaga
"Sedih, kasian buat kita semua... <br>tapi ini akan diperparah dengan adanya pembangunan ikn... berapa byk lahan hutan yg akan hilang..",0,Sedih kasian buat kita semua tapi ini akan diperparah dengan adanya pembangunan ikn berapa byk lahan hutan yg akan hilang
"Eropa bikin kebun gak ada yg perotes, hasil tambang kalimantan d kirim k eropa,",0,Eropa bikin kebun gak ada yg perotes hasil tambang kalimantan d kirim k eropa
Nasib rakyat tergntng pimpinan brpihak kmana.. klo mana yg bener tentu mudah dg mndengar pndapat para ahli..bukan oligarki,0,Nasib rakyat tergntng pimpinan brpihak kmana klo mana yg bener tentu mudah dg mndengar pndapat para ahlibukan oligarki
Tarsan menangis mlihat ini 😢,0,Tarsan menangis mlihat ini
"Tapi banyak juga org kalimantan yg mendukung IKN, tambang dan sawit 😮",2,Tapi banyak juga org kalimantan yg mendukung IKN tambang dan sawit
Saya tingal di kalimantan...tolong pihak pemerintah pantau hutan kami banyak habis...tambang boksit dan sawit menghancur kan hutan kami....kami sering kena dampak nya..tolong pihak bertindak tegas pemerintah...,0,Saya tingal di kalimantantolong pihak pemerintah pantau hutan kami banyak habistambang boksit dan sawit menghancur kan hutan kamikami sering kena dampak nyatolong pihak bertindak tegas pemerintah
Gpp dari pada cuma hutan gak profuktif.....pembagunan harus dilakukan di kalimantan.....,2,Gpp dari pada cuma hutan gak profuktifpembagunan harus dilakukan di kalimantan
Karna jokowi senang kalimatan biar tenggelam hutan hutan di kalimantan di tembang semua hanya untuk hawa nafsu kerja sebagai presiden,0,Karna jokowi senang kalimatan biar tenggelam hutan hutan di kalimantan di tembang semua hanya untuk hawa nafsu kerja sebagai presiden
Narasi sekarang berubah jadi naradrun😂😂😂,1,Narasi sekarang berubah jadi naradrun
Lah ngomong fakta dibilang kadrun .. Liat lah komen2 orang kalimantan yg pada ngeluh ... Apa2 kadrun ... Ngomongin Hutan kok jadi Gurun ...,0,Lah ngomong fakta dibilang kadrun Liat lah komen orang kalimantan yg pada ngeluh Apa kadrun Ngomongin Hutan kok jadi Gurun
Mereka cuma mikir uang dan uang tanpa peduli alam,0,Mereka cuma mikir uang dan uang tanpa peduli alam
Banjir saat ini akibat penebangan hutan yang sudah berjalan puluhan tahun...oleh pihak pihak yang tidak bertanggungjawab...ijin tebang kecil realisasi di lapangan beda...hutan lindung hanya sekedar setrategi...yang punya pabrik pengolahan kayu di Kalimantan siapa? Bukan rahasia lagi...jgn gampang membuat berita kl data tidak akurat...,0,Banjir saat ini akibat penebangan hutan yang sudah berjalan puluhan tahunoleh pihak pihak yang tidak bertanggungjawabijin tebang kecil realisasi di lapangan bedahutan lindung hanya sekedar setrategiyang punya pabrik pengolahan kayu di Kalimantan siapa Bukan rahasia lagijgn gampang membuat berita kl data tidak akurat
Proyek IKN kebanggaan cebong,1,Proyek IKN kebanggaan cebong
Terus,1,Terus
"adalah daya SDM INDONESIA RENDAH, Banyak pihak yang TAMAK dan HAUS UANG maka terjadilah bencana ini di KALIMANTAN, kasian warga kalimantan",0,adalah daya SDM INDONESIA RENDAH Banyak pihak yang TAMAK dan HAUS UANG maka terjadilah bencana ini di KALIMANTAN kasian warga kalimantan
"Coba kalian cek data nya 32 tahun orba membabat hutan dan hanya butuh 10 tahun bagi Jokowi membabat hutan BARU yg luas nya lebih luas dari ,,, ah sudah lah ...",0,Coba kalian cek data nya tahun orba membabat hutan dan hanya butuh tahun bagi Jokowi membabat hutan BARU yg luas nya lebih luas dari ah sudah lah
"tidak heran la borneo sekarang panas bahangnya semacam je, berbeza dengan tahun 80an &amp; 90an masa tido tak pakai kipas angin pun sejuk.",0,tidak heran la borneo sekarang panas bahangnya semacam je berbeza dengan tahun an amp an masa tido tak pakai kipas angin pun sejuk
"Presiden dan menhan malah membabat hutan mau di tanami singkong, habis ratusan miliar malah cuma jadi lahan gundul. Harus di audit pasti banyak yg di korupsi",0,Presiden dan menhan malah membabat hutan mau di tanami singkong habis ratusan miliar malah cuma jadi lahan gundul Harus di audit pasti banyak yg di korupsi
"Waktu tv cuma ada TVRI,tidak ada yg nama nya berita banjir di Kalimantan,sekarng hutan mangkin habis,",0,Waktu tv cuma ada TVRItidak ada yg nama nya berita banjir di Kalimantansekarng hutan mangkin habis
Dahulu Kalimantan pohon nya di tebang sumber daya nya dikuras tetapi yang maju tetap pulau jawa saja,0,Dahulu Kalimantan pohon nya di tebang sumber daya nya dikuras tetapi yang maju tetap pulau jawa saja
Ombibus Law - MINERBA memberikan karpet merah kpd para oligarki utk terus melanjutkan keserakahan nya.,0,Ombibus Law MINERBA memberikan karpet merah kpd para oligarki utk terus melanjutkan keserakahan nya
Selama ada cuan pihak² terkait yg bertanggung jawab akan tetap bodo amat,1,Selama ada cuan pihak terkait yg bertanggung jawab akan tetap bodo amat
Yg enak mah yg ngasih ijin..cuman tinggal tanda tangan duit langsung masuk dah,1,Yg enak mah yg ngasih ijincuman tinggal tanda tangan duit langsung masuk dah
"Dari dulu mah emang gitu, mengundang para investor untuk eksploitasi dan berbisnis, menghijaukan negara orang, sedang negeri kita tambah menggersangg",0,Dari dulu mah emang gitu mengundang para investor untuk eksploitasi dan berbisnis menghijaukan negara orang sedang negeri kita tambah menggersangg
"Dijawa malah hutan abis karena krn trlalu byk manusia ,,,wkwkwk",0,Dijawa malah hutan abis karena krn trlalu byk manusia wkwkwk
"Smua pasti ada +- nya, suatu daerah yg masih hutan yg minim pemabangunan di anggap keterblakangan, lalu rakyat berbondong bondong migrasi ke daerah perkotaan dgn alasan pekerjaan, bahkan embel&quot; menuntut keadilan tentang pembangunan akses jalan dll pasti muncul,,, namun ktika daerah yg terbelakang tersebut mulai di bangun tentu berimbas dengan berkurangnya pohon/hutan, bahkan mungkin imbas lainya,. <br> Karna gak mungkin kalimantan mau di bangun gedung, pabrik &amp; akses jalan di atas hutan, yg notabenenya tampa mengurangi pohon / hutan. <br> Mnurut saya biarkan saja pemerintah yg memikirkan,, tapi masukan &amp; kritikan itu harus, &amp; penting.",2,Smua pasti ada nya suatu daerah yg masih hutan yg minim pemabangunan di anggap keterblakangan lalu rakyat berbondong bondong migrasi ke daerah perkotaan dgn alasan pekerjaan bahkan embel menuntut keadilan tentang pembangunan akses jalan dll pasti muncul namun ktika daerah yg terbelakang tersebut mulai di bangun tentu berimbas dengan berkurangnya pohonhutan bahkan mungkin imbas lainya Karna gak mungkin kalimantan mau di bangun gedung pabrik akses jalan di atas hutan yg notabenenya tampa mengurangi pohon hutan Mnurut saya biarkan saja pemerintah yg memikirkan tapi masukan kritikan itu harus penting
Hentikan ikn,1,Hentikan ikn
Ikn 😅😅😅,1,Ikn
Atas nama pembangunan <br>Atas nama kemajuan<br>Perubahan selalu memakan korban<br>Apa memang di rencanakan. <br>Atau sebuah kebetulan<br>Kemajuan jaman <br>rakyat kecil yang jadi tumbal<br>Siapakahkah sebenarnya mereka<br><br>Alam yang dulu indah.<br>Harapan kita semua<br>Kini sudah berubah tinggallah cerita<br>Samudera sungai dan hutan <br>Kini smakin telanjang<br>Serakah mereka <br>membuat alam kesakitan<br>Siapakah sebenarnya mereka<br><br>Jangan ada lagi korban <br>Yang mengatasnamakan pembangunan<br>Kalaupun benar untuk kemajuan <br>Haruslah sesuai jangan sewenang wenang<br>Tuan kami sudah kecil <br>Jangan makin di kucil<br>Tuan kami sudah bosan <br>Hentikan kekerasan dan kerakusan,1,Atas nama pembangunan Atas nama kemajuanPerubahan selalu memakan korbanApa memang di rencanakan Atau sebuah kebetulanKemajuan jaman rakyat kecil yang jadi tumbalSiapakahkah sebenarnya merekaAlam yang dulu indahHarapan kita semuaKini sudah berubah tinggallah ceritaSamudera sungai dan hutan Kini smakin telanjangSerakah mereka membuat alam kesakitanSiapakah sebenarnya merekaJangan ada lagi korban Yang mengatasnamakan pembangunanKalaupun benar untuk kemajuan Haruslah sesuai jangan sewenang wenangTuan kami sudah kecil Jangan makin di kucilTuan kami sudah bosan Hentikan kekerasan dan kerakusan
SEJAK JAMAN PRESIDEN KE DUA KAN KALIMANTAN DIBABAT,0,SEJAK JAMAN PRESIDEN KE DUA KAN KALIMANTAN DIBABAT
Apa lg matii ibu kota pinda kesana 😭😭😭,0,Apa lg matii ibu kota pinda kesana
"Kasih solusi biar manusia nya di kalimantan sejahtera,kalau tdk yaa pasti di jual tanah nya,semakin maju semakin sulit hidup,jadi wajar orang jual.",0,Kasih solusi biar manusia nya di kalimantan sejahterakalau tdk yaa pasti di jual tanah nyasemakin maju semakin sulit hidupjadi wajar orang jual
Pemerintah yg pd akhirnya sbg pembunuh anak cucu kita.tanpa izin mrk korporasi gk akan buka lahan,0,Pemerintah yg pd akhirnya sbg pembunuh anak cucu kitatanpa izin mrk korporasi gk akan buka lahan
Menyedihkan.,0,Menyedihkan
Belum lagi kalo ikn jadi...makin abis..,0,Belum lagi kalo ikn jadimakin abis
"Alam selalu mempertahankan keseimbangannya. Apa yg kita tanam, itu yg kita tuai. Jgn berfikir kita bisa sesuka hati tanpa mendapat konsekuensi. Pohon2 itulah yg menahan kepulauan kita agar tetap berdiri dan tidak tenggelam hanyut",1,Alam selalu mempertahankan keseimbangannya Apa yg kita tanam itu yg kita tuai Jgn berfikir kita bisa sesuka hati tanpa mendapat konsekuensi Pohon itulah yg menahan kepulauan kita agar tetap berdiri dan tidak tenggelam hanyut
"Pemimpin sakit, negarapun sakit.",0,Pemimpin sakit negarapun sakit
"Kerana uang, hutan ditebang",0,Kerana uang hutan ditebang
"Gak laku berita begini, buzzerp2 yang you know who langsung pada bikin berita tandingan",0,Gak laku berita begini buzzerp yang you know who langsung pada bikin berita tandingan
Pembangunan IKN apakah termasuk Deforestasi ???,1,Pembangunan IKN apakah termasuk Deforestasi
"Hidup jokowi, jokowi tiga priode menurut saya cocok.. Saya yakin orang kalimantan juga setuju. Jokowi orang soleh",2,Hidup jokowi jokowi tiga priode menurut saya cocok Saya yakin orang kalimantan juga setuju Jokowi orang soleh
Terus dimasa pemerintahan siapa deforestasi paling banyak?.<br>Berarti kan di masa Soeharto?.<br>Kalau masa orde baru sampai sekarang lahan yang dulu sudah dibabat di kasih izin untuk ditanami sawit dan pohon bahan baku kertas. Yah izin tambang juga?.<br>Siapa yang Anda tuju?.<br>Dan bagaimana pemecahan solusinya?.,1,Terus dimasa pemerintahan siapa deforestasi paling banyakBerarti kan di masa SoehartoKalau masa orde baru sampai sekarang lahan yang dulu sudah dibabat di kasih izin untuk ditanami sawit dan pohon bahan baku kertas Yah izin tambang jugaSiapa yang Anda tujuDan bagaimana pemecahan solusinya
"Saya kira tebang saja semua pohon di Kalimantan, biar semua lahan dijadikan perkebunan, kawasan industri, lahan tambang. <br>Lakukan saja semua nya karena nafsu tapi berdalih atas nama pembangunan. Padahal pembangunan yang salah belum memberikan kebaikan. <br><br>Bukan kah kalian yang menjunjung tinggi kemajuan. Dimana definisi kemajuan saja berbeda beda antara satu dengan yang lain. <br><br>Oligarki yang sebenarnya berkuasa. Jika sudah demikian, pekerjaan mu semakin berat. Rakyat harus bergerak bersuara. <br>Upaya upaya untuk membungkam suara rakyat sekecil apapun jangan pernah biarkan karena mereka pejabat punya kuasa untuk membuat seribu alasan untuk memuluskan rencana mereka dengan menggunakan atas nama Pembangunan dan nama rakyat.",1,Saya kira tebang saja semua pohon di Kalimantan biar semua lahan dijadikan perkebunan kawasan industri lahan tambang Lakukan saja semua nya karena nafsu tapi berdalih atas nama pembangunan Padahal pembangunan yang salah belum memberikan kebaikan Bukan kah kalian yang menjunjung tinggi kemajuan Dimana definisi kemajuan saja berbeda beda antara satu dengan yang lain Oligarki yang sebenarnya berkuasa Jika sudah demikian pekerjaan mu semakin berat Rakyat harus bergerak bersuara Upaya upaya untuk membungkam suara rakyat sekecil apapun jangan pernah biarkan karena mereka pejabat punya kuasa untuk membuat seribu alasan untuk memuluskan rencana mereka dengan menggunakan atas nama Pembangunan dan nama rakyat
Akal tanpa Nurani,0,Akal tanpa Nurani
ternyata apa yang diomongkan pemerintah cuma OMDO,0,ternyata apa yang diomongkan pemerintah cuma OMDO
"Food estate di mata media<br>CNBC = Sumber ketahanan pangan indonesia , mengurangi ketergantungan impor pangan<br>Mata najwa, greenpeace, = merusak lingkungan, merusak hutan bla.... Bla...bla...<br>Lalu solusinya impor aja gitu ( antek asing )",0,Food estate di mata mediaCNBC Sumber ketahanan pangan indonesia mengurangi ketergantungan impor panganMata najwa greenpeace merusak lingkungan merusak hutan bla BlablaLalu solusinya impor aja gitu antek asing
ibu kota baru di Kalimantan itu pemimpin nya ngotak ngk sih terlalu egois dan ambisi yg bikin alam rusak dan rakyat sengsara selamat bersenang-senang Indonesia,0,ibu kota baru di Kalimantan itu pemimpin nya ngotak ngk sih terlalu egois dan ambisi yg bikin alam rusak dan rakyat sengsara selamat bersenangsenang Indonesia
"Kerusakan pd bumi di sebabkan oleh tangan tangan manusia itu sendiri. Dan itu sdh sangat jelas tertulis di dlm Al-Qur&#39;an. Namun manusia msh Saja pd keserakahannya dan akhirnya menimbulkan berbagai bencana alam. Sdh jelas dlm hal ini, Tuhan tdk patut untuk di persalahkan.",0,Kerusakan pd bumi di sebabkan oleh tangan tangan manusia itu sendiri Dan itu sdh sangat jelas tertulis di dlm AlQuran Namun manusia msh Saja pd keserakahannya dan akhirnya menimbulkan berbagai bencana alam Sdh jelas dlm hal ini Tuhan tdk patut untuk di persalahkan
X (Eks) = Mantan. <br>X (Kali) + Mantan. <br>X (Cali) -&gt; Nia. 👌,1,X Eks Mantan X Kali Mantan X Cali Nia
Indonesia semakin hari semakin rusak segalanya 😢,0,Indonesia semakin hari semakin rusak segalanya
Ikuti alur wae. Dunia ini hanya sementara,0,Ikuti alur wae Dunia ini hanya sementara
"Coba deh tinggal di kalimantan, atau tukeran pulau jawa di jadiin hutan lagi biar sama, klo orang pulau jawa pindah di kalimantan 100% pasti nebang utan juga , klo udah urusan dapur mah",0,Coba deh tinggal di kalimantan atau tukeran pulau jawa di jadiin hutan lagi biar sama klo orang pulau jawa pindah di kalimantan pasti nebang utan juga klo udah urusan dapur mah
"Ingat, isu kalimantan selalu dilihat dari sudut pandang Jawa yang taunya cuma hutan, tambang dan suku dayak<br><br>Padahal Jawa dulu juga hutan sebelum Belanda datang kan, sekarang?",1,Ingat isu kalimantan selalu dilihat dari sudut pandang Jawa yang taunya cuma hutan tambang dan suku dayakPadahal Jawa dulu juga hutan sebelum Belanda datang kan sekarang
"Setiap keberhasilan pasti disertai pengorbanan... <br>Maksudnya ada yg dikorbankan, atau dg kata lain sengaja di jadikan korban... <br>Dalam konteks ini ya &quot;itu&quot; demi Keberhasilan &quot;itu&quot;",1,Setiap keberhasilan pasti disertai pengorbanan Maksudnya ada yg dikorbankan atau dg kata lain sengaja di jadikan korban Dalam konteks ini ya itu demi Keberhasilan itu
"Next, kalimantan akan jadi jakarta baru",1,Next kalimantan akan jadi jakarta baru
Tolong investigasi juga Pariwisata Super Premium Labuhan Bajo dong. Sebenarnya siapa yang paling di untungkan,1,Tolong investigasi juga Pariwisata Super Premium Labuhan Bajo dong Sebenarnya siapa yang paling di untungkan
"Gini amat, ada komentar yg udh panjang malah (ter/di) hapus. Ckckck",1,Gini amat ada komentar yg udh panjang malah terdi hapus Ckckck
"Kalau gak salah komentar teratas yg paling atas yg hilang, kalau gak salah sepertinya atas nama mr x. Terakhir saya lihat banyak yg komen dan like di komentarnya",1,Kalau gak salah komentar teratas yg paling atas yg hilang kalau gak salah sepertinya atas nama mr x Terakhir saya lihat banyak yg komen dan like di komentarnya
"Di tengah gencarnya promosi jualan motor dan mobil listrik bahkan sampai pemerintah mau subsidi harganya dengan alasan go green.. Yg mana menambah kendaraan baru otomatis menambah jumlah kendaraan di jalan raya, kendaraan lama berbahan bakar fosil jg tetap di pakai dijalan.. Sungguh tidak solutif.. Dan Hutan malah di tebangi😭",0,Di tengah gencarnya promosi jualan motor dan mobil listrik bahkan sampai pemerintah mau subsidi harganya dengan alasan go green Yg mana menambah kendaraan baru otomatis menambah jumlah kendaraan di jalan raya kendaraan lama berbahan bakar fosil jg tetap di pakai dijalan Sungguh tidak solutif Dan Hutan malah di tebangi
Apakah kira² di kalangan netizen ada yg punya ide mengenai hal ini? Hutan kembali berfungsi semestinya namun masyarakat pun dapat menikmati berkahnya. Terlebih bukanya wilayah kalimantan yg sering menjadi tempat untuk transmigrasi?,2,Apakah kira di kalangan netizen ada yg punya ide mengenai hal ini Hutan kembali berfungsi semestinya namun masyarakat pun dapat menikmati berkahnya Terlebih bukanya wilayah kalimantan yg sering menjadi tempat untuk transmigrasi
"Sy warga kalsel. <br>Kita tuh di kalimantan raja alam, pertambangan, perkebunan, kehutanan, dan hasil bumi lainnya, kalimantan tuh punya, pertanyaan...??? <br> Yg kaya nya siapa??? <br> Yg menikmati nya siapa??? <br> <br>Banjirnya ia,<br> debu yang ai, <br>Limbahnya ia, <br>Kemiskinan ia, <br> Lalu siapa dalamnya, <br>Kalau di hitung dari hasilnya, <br>Seharusnya kita kalimantan itu:<br>Kaya2. <br>Bangunannya mewah2, <br>Transportasi nya canggih 2,<br>Rakyat makmur,",0,Sy warga kalsel Kita tuh di kalimantan raja alam pertambangan perkebunan kehutanan dan hasil bumi lainnya kalimantan tuh punya pertanyaan Yg kaya nya siapa Yg menikmati nya siapa Banjirnya ia debu yang ai Limbahnya ia Kemiskinan ia Lalu siapa dalamnya Kalau di hitung dari hasilnya Seharusnya kita kalimantan ituKaya Bangunannya mewah Transportasi nya canggih Rakyat makmur
"Curah hujan juga sering banget ygy disana ituu, hujan dikit aja auto banjir apalagi nanti kalo udah jadi ibu kota kayak apa itu ntar jadinya.. huhu",0,Curah hujan juga sering banget ygy disana ituu hujan dikit aja auto banjir apalagi nanti kalo udah jadi ibu kota kayak apa itu ntar jadinya huhu
Jokuwi hobinya nanam beton dgn alasan memindahkan ibukota sm ngeruk nikel tanpa analisis amdal...hehehe,1,Jokuwi hobinya nanam beton dgn alasan memindahkan ibukota sm ngeruk nikel tanpa analisis amdalhehehe
